mode,distance_m,snr_db_mean,snr_db_ci_low,snr_db_ci_high
Conventional IRS,10,59.32231630662878,58.47533145756709,60.16930115569047
Conventional IRS,20,52.1444020361164,51.5213015066416,52.767502565591194
Conventional IRS,30,48.28697957597578,47.68208627897602,48.89187287297553
Conventional IRS,40,45.52078371539574,44.912131141264936,46.12943628952654
Conventional IRS,50,42.872470861688704,42.251364720290276,43.49357700308713
Conventional IRS,60,41.52140366162111,40.852233108008804,42.19057421523341
Conventional IRS,70,39.86272313723597,39.26896951199606,40.45647676247587
Conventional IRS,80,37.91141856685283,37.22643344772052,38.596403685985145
Conventional IRS,90,37.039041622396056,36.40279456883172,37.67528867596039
Conventional IRS,100,35.79705377899577,34.991293264682156,36.60281429330938
Conventional IRS,110,35.16900743209225,34.63314461059415,35.70487025359035
Conventional IRS,120,33.88007559795328,33.29348486408416,34.4666663318224
Conventional IRS,130,33.58546494683936,32.94766732142428,34.22326257225444
Conventional IRS,140,31.65577042836199,30.870306502700398,32.441234354023585
Conventional IRS,150,31.602613713677673,30.997461346898675,32.20776608045667
Conventional IRS,160,31.274655224212566,30.733879068799297,31.815431379625835
Conventional IRS,170,29.901914325121876,29.24122305436302,30.562605595880733
Conventional IRS,180,30.169559593917953,29.555248395358895,30.78387079247701
Conventional IRS,190,28.865187900496736,28.140371450419362,29.59000435057411
Conventional IRS,200,28.3971651127923,27.767182540829626,29.027147684754976
Zero-shot LAMI,10,62.52709612379995,62.01914539403825,63.03504685356165
Zero-shot LAMI,20,55.45194187790633,54.79994107628167,56.10394267953099
Zero-shot LAMI,30,51.39442988974267,50.74152741987191,52.04733235961343
Zero-shot LAMI,40,48.58313958681867,48.02548218224486,49.14079699139248
Zero-shot LAMI,50,46.25718169139301,45.66237065251804,46.85199273026797
Zero-shot LAMI,60,44.36334617078303,43.67766316934973,45.049029172216336
Zero-shot LAMI,70,42.56141957276006,41.9689140915446,43.15392505397552
Zero-shot LAMI,80,42.04320486908392,41.44422765146817,42.64218208669968
Zero-shot LAMI,90,39.99751777512413,39.30917642185089,40.68585912839737
Zero-shot LAMI,100,39.0119379119402,38.31519259277072,39.70868323110968
Zero-shot LAMI,110,38.712282428436076,38.098290036548605,39.32627482032355
Zero-shot LAMI,120,37.63408209800565,36.81149507502101,38.45666912099029
Zero-shot LAMI,130,36.745052965156454,36.08373424414145,37.406371686171454
